Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
1,1,,14.43,15.56,15.46,48.6,48.1,15.07,15.07,1,Toms LissamineFP(1),0,0,De=2nd Ex=Top Em=Top Wdw=N/A (142),0,14/12/2020 15:35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Toms LissamineFP,0,155454,30,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (15),,,,,,,,,,,,,,,,,,
1,Toms LissamineFP,0,212912,30,00:00.0,De=2nd Ex=Top Em=Top Wdw=N/A (142),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Toms LissamineFP(1) - S channel (RFU),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,258692,395735,241609,198684,224133,356184,182462,271144,268607,175920,180600,241950,213254,201371,192415,200823,199326,202779,201070,194134,222628,211675,215591,201488
B,337572,317971,297073,308516,313320,236376,303022,282638,267414,271561,250156,240444,213197,210523,201074,196294,202486,197263,209266,217836,200922,205548,218809,227555
C,325797,313127,192617,173961,348007,330517,302662,262994,261300,242270,263653,209330,200275,206319,205431,197789,196402,197717,208765,193085,201072,201697,197443,200580
D,78761,78862,68754,63001,62145,55177,58335,57355,58705,63781,57334,57197,56476,58841,57423,56700,57605,56801,58153,57509,52377,56427,55951,67961
E,79710,68933,62035,59973,64810,61991,63288,56856,60324,58122,58674,56871,56966,56331,57984,57643,57361,62303,60309,58118,61150,58675,58560,59892
F,87541,68446,69838,64132,61676,58714,58336,58775,59037,59102,56993,57914,60325,54810,57028,57120,56942,57399,58522,56975,56031,56699,56471,67616
G,159409,224878,158111,169043,165812,158332,206261,199231,204507,194793,196288,189764,185739,193659,176267,189275,183812,183960,187462,179912,189429,179441,185794,198490
H,180210,230223,242185,225904,227485,174551,207228,207879,197857,178748,180436,190490,167080,177209,188971,186002,186710,198272,189728,186578,229655,171081,179372,221545
I,215328,212734,139853,191839,181458,149284,216076,202491,183691,174106,199918,184783,170619,174587,179503,177512,201690,190356,210718,198301,181027,210006,185991,183940
J,60292,59184,58422,58115,57394,56570,56749,58245,57166,59301,56899,57432,57684,58194,55981,56456,56520,55912,58650,56670,55477,55508,57159,68815
K,57117,58924,55635,58489,55533,58211,55415,56526,56591,56735,58214,67644,56417,56353,58211,57309,58587,57070,58885,58844,57780,56749,60313,59328
L,54275,56765,58472,58032,56957,56593,54793,61165,56939,59298,57707,56979,56248,54875,56784,57552,58267,57503,57752,57121,56244,58222,55639,67927
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,23181,,,,,,,,,,,,,,,,,,,,
Assay Started: ,,,,14/12/2020 15:32,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,14/12/2020 15:35,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,14/12/2020 15:35,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100366,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,Protein titration LissamineFA,,,,,,,,,,,,,,,,,,,,
Serial#: ,,,,1041378,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,,,,,,
Protocol name,,,,Protein titration LissamineFA,,,,,,,,,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,,,,,,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,
Is label meas. height used,,,,Yes,,,,,,,,,,,,,,,,,,,,
Height of measurement,,,,Defined in label,,,,,,,,,,,,,,,,,,,,
Is gripper height used,,,,No,,,,,,,,,,,,,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,,,,,,,,,,,,,
Rotated plate,,,,No,,,,,,,,,,,,,,,,,,,,
Soft move,,,,No,,,,,,,,,,,,,,,,,,,,
Protocol notes,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,,,,,,,,,,,,,
Name of the plate type,,,,384 OptiPlate,,,,,,,,,,,,,,,,,,,,
Number of rows,,,,16,,,,,,,,,,,,,,,,,,,,
Number of columns,,,,24,,,,,,,,,,,,,,,,,,,,
Number of the wells in the plate,,,,384,,,,,,,,,,,,,,,,,,,,
Height of the plate,,,,14.35 mm,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,,,,,,,,,,,,,
384 OptiPlate + Toms LissamineFP,,,,,,,,,,,,,,,,,,,,,,,,
12.07 mm x------------------------------------------------------ x 115.55 mm,,,,,,,,,,,,,,,,,,,,,,,,
8.96 mm                                                            9.41 mm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12.16 mm x------------------------------------------------------ x 115.5 mm,,,,,,,,,,,,,,,,,,,,,,,,
76.51 mm                                                           76.49 mm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,
Group,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
I,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
J,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
K,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
L,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
M,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
N,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
O,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
P,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,,,,,,,,,,,,,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,,,,,,,,,,,,,
 Formula name,,,,Fluorescence anisotropy (FA),,,,,,,,,,,,,,,,,,,,
 Formula,,,,Fluorescence anisotropy (FA) where S = <detector 2 or Toms LissamineFP(1) channel 2> P = <detector 1 or Toms LissamineFP(1) channel 1> G = G-factor,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,,,,,,,,,,,,,
Export format,,,,Plate2,,,,,,,,,,,,,,,,,,,,
Include basic assay information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Place assay information at,,,,End of file,,,,,,,,,,,,,,,,,,,,
Include basic plate information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Place plate information at,,,,Beginning of plate,,,,,,,,,,,,,,,,,,,,
Include protocol information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Protocol info level,,,,Large,,,,,,,,,,,,,,,,,,,,
Include error and warning information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Include background information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,,,,,,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,,,,,,,,,,,,,
Field separator to use,,,,System,,,,,,,,,,,,,,,,,,,,
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Operations:,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,
  Group 1,,,,,,,,,,,,,,,,,,,,,,,,
    Shake,,,,,,,,,,,,,,,,,,,,,,,,
      Duration,,,,1 s,,,,,,,,,,,,,,,,,,,,
      Speed,,,,900,,,,,,,,,,,,,,,,,,,,
      Diameter,,,,0.1 mm,,,,,,,,,,,,,,,,,,,,
      Shake mode,,,,Linear,,,,,,,,,,,,,,,,,,,,
      Plate location,,,,Inside,,,,,,,,,,,,,,,,,,,,
      First assay/plate repeat affected,,,,1,,,,,,,,,,,,,,,,,,,,
      Last assay/plate repeat affected,,,,1,,,,,,,,,,,,,,,,,,,,
    Measurement,,,,,,,,,,,,,,,,,,,,,,,,
      Label,,,,Toms LissamineFP(1),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Labels:,,,,,,,,,,,,,,,,,,,,,,,,
Toms LissamineFP,,,,5000012,,,,,,,,,,,,,,,,,,,,
Mirror,,,,BODIPY TMR FP,,,,,,,,,,,,,,,,,,,,
Exc. filter,,,,BODIPY TMR FP 531,,,,,,,,,,,,,,,,,,,,
Ems. filter,,,,BODIPY TMR FP P-pol 595,,,,,,,,,,,,,,,,,,,,
2nd ems. filter,,,,BODIPY TMR FP S-pol 595,,,,,,,,,,,,,,,,,,,,
Measurement height,,,,7.4 mm,,,,,,,,,,,,,,,,,,,,
Number of flashes,,,,30,,,,,,,,,,,,,,,,,,,,
Number of flashes integrated,,,,1,,,,,,,,,,,,,,,,,,,,
PMT gain,,,,300,,,,,,,,,,,,,,,,,,,,
2nd PMT gain,,,,0,,,,,,,,,,,,,,,,,,,,
G-factor,,,,1,,,,,,,,,,,,,,,,,,,,
Excitation light,,,,100%,,,,,,,,,,,,,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,,,,,,,,,,,,,
Emission light,,,,100%,,,,,,,,,,,,,,,,,,,,
Reference AD gain,,,,1,,,,,,,,,,,,,,,,,,,,
Reference signal,,,,280270,,,,,,,,,,,,,,,,,,,,
Last edited,,,,10/11/2011 15:54,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,EnVision,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,No,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,
BODIPY TMR FP 531,,,,105,,,,,,,,,,,,,,,,,,,,
Filter type,,,,Excitation,,,,,,,,,,,,,,,,,,,,
Description,,,,X531 CWL=531nm BW=25nm Tmin=60%,,,,,,,,,,,,,,,,,,,,
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved Fluorescence,,,,,,,,,,,,,,,,,,,,
Last edited,,,,26/11/2015 14:57,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
BODIPY TMR FP P-pol 595,,,,211,,,,,,,,,,,,,,,,,,,,
Filter type,,,,Emission (P),,,,,,,,,,,,,,,,,,,,
Description,,,,M595p CWL=595nm BW=60nm Tmin=75%,,,,,,,,,,,,,,,,,,,,
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved FluorescenceFluorescence Polarization,,,,,,,,,,,,,,,,,,,,
Last edited,,,,26/11/2015 14:57,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
BODIPY TMR FP S-pol 595,,,,210,,,,,,,,,,,,,,,,,,,,
Filter type,,,,Emission (S),,,,,,,,,,,,,,,,,,,,
Description,,,,M595s CWL=595nm BW=60nm Tmin=75%,,,,,,,,,,,,,,,,,,,,
Used with,,,,Absorbance DELFIA - Time-resolved Fluorescence Fluorescence Intensity Fluorescence Polarization LANCE - Time-resolved FluorescenceFluorescence PolarizationFluorescence Polarization,,,,,,,,,,,,,,,,,,,,
Last edited,,,,26/11/2015 14:57,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mirror modules:,,,,,,,,,,,,,,,,,,,,,,,,
BODIPY TMR FP,,,,432,,,,,,,,,,,,,,,,,,,,
Used by,,,,Top,,,,,,,,,,,,,,,,,,,,
Dual,,,,No,,,,,,,,,,,,,,,,,,,,
Bias,,,,No,,,,,,,,,,,,,,,,,,,,
Description,,,,D555fp,,,,,,,,,,,,,,,,,,,,
Used with,,,,Fluorescence Polarization,,,,,,,,,,,,,,,,,,,,
Last edited,,,,26/11/2015 14:57,,,,,,,,,,,,,,,,,,,,
Last edited by,,,,Installation,,,,,,,,,,,,,,,,,,,,
Factory preset,,,,Yes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,,,,,,,,,,,,,
Serial number,,,,1041378,,,,,,,,,,,,,,,,,,,,
Nickname,,,,EnVision,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Exported with EnVision Workstation version 1.13.3009.1401,,,,,,,,,,,,,,,,,,,,,,,,
